trade_date,close,decision,reason,position_state,entry_date,entry_price,structural_stop,position_fraction
2022-05-26,800.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-05-29,806.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-05-30,831.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-05-31,838.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-06-01,826.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-06-02,813.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-06-05,804.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-06-06,802.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-06-07,802.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-06-08,794.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-06-09,794.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-06-12,781.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-06-13,776.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-06-14,770.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-06-15,768.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-06-16,772.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-06-19,745.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-06-20,737.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-06-21,742.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-06-22,735.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-06-23,741.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-06-26,752.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-06-27,747.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-06-28,747.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-06-29,757.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-06-30,753.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-07-03,769.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-07-04,764.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
